7842,9881.5
7926,9581
7881.5,9595
7857,9519
7814,9476
7805.5,9553
7726,9503
7571,9404
7677.5,9555
7634,9554.5
9646.5,9973
9729.5,9626
10061,9974
9812,9394.5
9895.5,9453
9860,9478.5
9838.5,9464
8472.5,9324
8835,9229
8856,9369.5
8948,9379.5
9137,9434
7348,9238.5
7428,9310.5
7830.5,9293
7360,9086
7565.5,9228
7823,9255.5
7673.5,9237
7712,9222
7812.5,9146
7458,9074.5
7536,9121
7566.5,9018
7635,9110.5
7659,8966
7732,9150
7782,9165.5
7755,9079.5
6844,4946
6532,5139
6230,5394
6178,5681.5
6235,5443
6283.5,5417.5
6396,5341
6290,5460
6374,5395
6265,5853
6336,5743
6431,5368
6569,5282.5
7167,5008
7282,5327
7205,5015
7237.5,5036.5
7241,4982
7270,5164.5
7331.5,4917
7368,4823.5
7362,4892.5
7383,4864.5
7370,4929.5
7420,4839
7452,4863.5
7497,4909
7498,5356
7651,4933
7567,5132
7621.5,4981
7685.5,4985
7681,5224
7854,5112.5
6567.5,5561.5
6426,5730
6519,5770
6597.5,5484
6753,5174
6645.5,5336
6900.5,5117
6832.5,5367.5
6953.5,5275
7002.5,5289.5
6387,5874.5
6435,5863
6563,7654.5
6660,7623.5
6583.5,7707
6701.5,7608
6966,7651.5
6719,7873.5
6931,7644.5
6734.5,7833.5
6929,7684.5
6714,7796
6723,7754
6759,7746
6797,7777.5
6427,7278.5
6512.5,7304
6524,7271
6596,7390.5
6652,7343.5
6739,7466.5
6380,6898
6463.5,6510.5
6523,6459.5
6493,6826
6599.5,6516
6577,6794
6696.5,6497
6680,6779
6670,6699
6690,6658.5
6694,6733.5
6528,6318
6482.5,5922
6502,5821
6505,5964.5
6566,6149
6523,5920.5
6552,5850
6579.5,5805
6596,5998.5
6610.5,5846
6684,6135
6663,5962
6695.5,5781
6708,6039.5
6709,6099
6718.5,8173
6796.5,8451
6788,8152
6831.5,8264
6844,8373
6908,8079
6881,8583
6891,8149
6924,8139.5
6938.5,8105.5
6962,8328
6977,8481
6889,8191
6948,8185
6915,8177
7027,8173
7049,8083
7060.5,8155
7051,8203
7119,8023.5
7089.5,8186
7146,8065
7154.5,8234
7180,8336
7066,8474
7028,8803
7049,8634.5
7091,8645.5
7165.5,8584
7127,8655
7008,8926
7010,9011.5
7075,8893
7029,8968.5
7262.5,8876
7024.5,9055
7124,8969.5
7107,9096.5
7150,9008
7219,9027
6652,6408.5
6651,6361.5
6674,6255.5
6665,6295
6785.5,5756
6911,5614
6969,5739
6780,5967
6964.5,5569
6971.5,5786
6810,5998.5
7092,5519
7111,5636
6826.5,5932
7906.5,5081
7959.5,5119
7742,8937.5
7459.5,8926
7389,8764
7514,8836
7279,8524.5
7294,8490
7330,8576.5
7477.5,8822.5
7457,8784
7456,8732.5
7501,8756
7494,8705.5
7450,8821.5
7496.5,8795
7534.5,8685
7858,9023
7860.5,8954
7606,8784
7801,8887.5
7664,8784.5
7728,8744
7610,8698.5
7630,8753
7816.5,8845
7896.5,8773
9073,8701
9092,8826
9367,8793.5
9260,8918
9306,8996
9344,9010
9406,8950
9416.5,8988
6855.5,6049
6886,6157.5
6932,6170.5
6849,6013
6858,5897
6866.5,5960
6899.5,5978
6934,5915
6979.5,5979.5
7002.5,5933.5
6964.5,5941
7003,5842.5
7060,5896
6947,5885.5
6917.5,5961
7013,5975.5
6917,5903.5
7767,5313
7808,5277.5
7787,5353
7864,5269
7833,5347.5
7906,5339
7774,5419.5
7851,5404.5
7761.5,5462
7793,5477
7719,5491
7758,5524
7826,5454
7792,5517.5
7880,5462.5
7913.5,5474
7852,5492.5
8002.5,5463
7944,5522.5
8056,5575
8087,5477
7881,5539.5
7851,5531
7891,5578
7498,5480
7320,5644
7091,5794
7213,5820.5
7151,5764.5
7138,5854
7177,5839
7218.5,5783
7405.5,5567
7399,5609
7263.5,5781
7277,5747
7227,5851
7559.5,5558
7674,5564
7167,7215
7251.5,7233.5
7328.5,7242
7265,7181.5
7263,7146
7333,7147
7233.5,7211.5
7300,7146.5
7352,7217
7247,7043
7316,6939.5
7293,7042
7349,7036
7384,6992
7331,7083
7347,6965
7439,7016
7386,7039.5
7190,7313
7577,7254
7462,7061.5
7527.5,6916
7487.5,7151.5
7539,6978
7550,7148
7524,7101.5
7649.5,6985
7663.5,7023
7623,7048.5
7359,7009
7394.5,6964
7423.5,6992.5
8010.5,6647
7960.5,6593
7995,6562
7956.5,6397
8022.5,6540
7979,6367
8026.5,6490.5
7984,6627.5
8146.5,6689.5
8070.5,6540.5
8079,6504.5
8072,6385
8118,6525
8179,6592
8157,6515.5
8219.5,6642.5
8257.5,6653
8216,6565
8179,6683
8217.5,6610
9195,6863
9257,6849
9229,6914
9292,6927
9238.5,6979.5
9314,6985.5
9330.5,6944
9393,6926.5
9355,7002
9241,6882
9206,6890.5
9258.5,6928
9227.5,6951.5
9268,6962.5
9269.5,7024
9299,7062
9264.5,7110.5
9335.5,7047.5
9256.5,7040.5
9367,7039.5
9232,7117
9255.5,7077.5
6760,6744
6820,6431
6900,6267
6932,6396
6999,6333.5
7039,6354
7017,6456
7146,6392
7158,6203
6809,7016
6826.5,6934
6810,7079
6907.5,6809
6953,7193
6957.5,6928
6963,7146.5
7004,7030.5
7028,6990
7043,7035
6824,7115
7029,7115
6795.5,7127.5
7013.5,7091.5
6994,6759
7036.5,6744.5
7066,6768
7130,6720
7218,6694
8338,6520.5
8323,6563
8381.5,6583.5
8432.5,6576
8136.5,6451
8177.5,6477
8220,6472
8352,6601
8404.5,6562.5
8151,6377
8184,6407
7265,6570
7361,6399
7350.5,6589
7416.5,6495.5
7361,6548.5
7396,6525
7391,6582
7399,6641
7386,6486.5
7408,6680
7396,6830.5
7471,6766.5
7507.5,6701
7527,6501
7548,6454.5
7623.5,6542.5
7624,6578.5
7644,6608.5
7667,6562
7671,6646.5
7662,6681.5
7703,6581
7709,6635
7671,6617
7755.5,6580
7653,6410
7727,6439
7818,6538.5
7759,6729.5
7799,6703
7679,6818
7834,6418
7880,6794
7372,8442
7367.5,8390
7383,8355.5
7437,8316.5
7567,8290.5
7507,8515
7530,8443.5
7550.5,8578
7557,8416.5
7776,8272
7606,8365
7593.5,8439
7651,8395
7602,8514
7785,8354.5
7637,8544
7848,8452
7724.5,8506
7707.5,8600
7772.5,8642
7794,8607
7771,8504
7891,8626.5
8047.5,8336
8004,8405
7961.5,8602.5
8013.5,8449
8053,8498
7150.5,7430
7139,7844
7198,7442.5
7224.5,7949
7227,7768
7296.5,7671
7250.5,7797
7283,7784.5
7283.5,7824
7302,7981
7351,8172.5
7386,8193
7409,7846.5
7384,7952.5
7409,8114
7401,8016
7399,7500
7498.5,8136.5
7498,7449
7474.5,7964
7475.5,7738.5
7535,8145
7452,7403
7530.5,7592
7588,7851
7507,7411.5
7469.5,7466.5
8422,5498
7298.5,6304
7323,6337
7325.5,6273
7331,6000
7376,6048.5
7313,6190
7391,6015.5
7398.5,6132
7338,6222
7457,6043
7682.5,5980
7397,6187
7438,6134.5
7469.5,6305
7554.5,6147
7601,6126
7603.5,6166.5
7340,5861
7375,5847.5
7382,5712.5
7397,5649
7414,5864.5
7441.5,5810
7430.5,5711
7661,5618
7450,5748.5
7552,5610
7558,5944
7560,5679
7616,5641
7756,5734
7657,5921
7610,5761
7770,5771
7684,5894
7717.5,5922
7516,8109
7687.5,7755
7611.5,8162
7700.5,8224.5
7694.5,8189.5
7592,8075
7739,7811
7963,7806
7630,8040
7635,7955
7653,8073
7864,8178
7952,8164
7670,7920
7688,7986
7698.5,8026
7730,7987
7792,7922
8014,7891
7792,7971
7828.5,7911
7882,7933
7963,8032
8063,7891
7548,7437.5
7692.5,7512.5
7628,7415
7635,7544.5
7694,7347
7675.5,7527.5
7696,7392
7787,7303
7729,7497.5
7728,7460.5
7736,7416
7770.5,7522.5
7853,7394
7815,7612
7821,7462.5
7858,7701
7839,7430
7857,7589.5
7867.5,7515
8012,7696
7932,7530
7970,7332
8050,7707.5
8104.5,7411
8157.5,7422
8176,7610.5
7743.5,7238
7956,6855.5
7732,6856
7733,7053
7801.5,7243
7766,6897.5
7814,7108
7784,6966
7807.5,7021
7842,7062.5
7948,6894
7902,7083
7987.5,6835
8082.5,6759
7952.5,6822
7950.5,7166
7990,7171.5
8136,7070
8155,7036.5
7770,6273
7841,6338
7817,5960.5
7827,6070
7859,6132
7817,5790
7938.5,5628
7881,5745
7952,5676.5
7859,5974.5
7863.5,5931
7981,5700
7990.5,5924.5
8306,5606.5
8132.5,5716
8163,5650
8268,5645
8075,5874.5
8062.5,5989
8258,5777
8261.5,5742
8229,5915.5
7927,5921
8209.5,5763
7925,5890
8219.5,5733.5
8271,5851
8370,5854
8367,8270
8430,8428.5
8551,8274
8402,7984
8474,7926
8513,8037
8543,7992
8594.5,7921
8797.5,8302
8782,8403
8615,8183
8588.5,8076
8367,7687
8356.5,7649
8921,8341.5
8929.5,8390
9034,8457.5
9832,8357
9836,8408.5
8594.5,7921
8713.5,8022
8745,7981
8759,8033.5
8805,8034
8845.5,7994
8916,8158
9006,8238.5
9051,8184.5
9872,8472.5
9887,8511
9142.5,8113
9223,8224
9238.5,7985
9325,8087.5
9340,8238
9479,8044
9455,8204
9513,8248
9631,8282.5
9553,8415
9598,8418
9632.5,8441
9487,8274
9467,8301.5
9248.5,7904
9285.5,7910
