0.0705244,0.0186662,0.05081,-0.0499992
0.05081,-0.0499992,0.0854574,-0.0625741
0.0854574,-0.0625741,0.11196,0.0517581
0.11196,0.0517581,0.0705244,0.0186662
-0.257573,0.0180372,-0.240325,0.0228877
-0.240325,0.0228877,-0.225978,0.0482925
-0.225978,0.0482925,-0.181416,0.272115
-0.181416,0.272115,-0.183915,0.278166
-0.183915,0.278166,-0.402276,0.258782
-0.402276,0.258782,-0.389365,0.142243
-0.389365,0.142243,-0.257573,0.0180372
-0.333152,-0.409425,-0.281266,-0.357528
-0.281266,-0.357528,-0.35853,-0.165772
-0.35853,-0.165772,-0.568782,-0.135403
-0.568782,-0.135403,-0.563471,-0.242951
-0.563471,-0.242951,-0.527118,-0.352604
-0.527118,-0.352604,-0.333152,-0.409425
0.468219,-0.16793,0.997536,0.0619886
0.997536,0.0619886,0.606376,0.160918
0.606376,0.160918,0.488802,0.103014
0.488802,0.103014,0.44001,-0.133508
0.44001,-0.133508,0.468219,-0.16793
-0.163341,0.295437,-0.0133079,0.329632
-0.0133079,0.329632,0.0131563,0.350303
0.0131563,0.350303,0.0636358,0.470025
0.0636358,0.470025,-0.0938033,0.561522
-0.0938033,0.561522,-0.19574,0.527433
-0.19574,0.527433,-0.163341,0.295437
-0.568782,-0.135403,-0.35853,-0.165772
-0.35853,-0.165772,-0.272907,-0.078839
-0.272907,-0.078839,-0.257573,0.0180372
-0.257573,0.0180372,-0.389365,0.142243
-0.389365,0.142243,-0.602203,-0.0961283
-0.602203,-0.0961283,-0.568782,-0.135403
-0.180408,-0.861485,-0.0893531,-0.737602
-0.0893531,-0.737602,-0.145324,-0.345933
-0.145324,-0.345933,-0.281266,-0.357528
-0.281266,-0.357528,-0.333152,-0.409425
-0.333152,-0.409425,-0.361335,-0.619743
-0.361335,-0.619743,-0.180408,-0.861485
0.115023,-0.416801,0.24275,-0.495346
0.24275,-0.495346,0.288367,-0.398323
0.288367,-0.398323,0.115023,-0.416801
0.0946145,0.134611,0.105803,0.141921
0.105803,0.141921,0.111372,0.253401
0.111372,0.253401,0.044212,0.310178
0.044212,0.310178,0.0660782,0.140511
0.0660782,0.140511,0.0946145,0.134611
0.112424,0.0523747,0.112773,0.0522201
0.112773,0.0522201,0.183441,0.0487543
0.183441,0.0487543,0.199592,0.15699
0.199592,0.15699,0.105803,0.141921
0.105803,0.141921,0.0946145,0.134611
0.0946145,0.134611,0.108,0.0606067
0.108,0.0606067,0.112424,0.0523747
-0.563471,-0.242951,-0.765932,-0.39165
