244, 17, 164
147, 248, 22
254, 17, 139
205, 253, 136
0, 137, 206
95, 61, 59
188, 131, 237
90, 182, 81
254, 122, 60
85, 168, 138
195, 132, 93
249, 17, 151
224, 135, 150
122, 77, 185
169, 39, 111
216, 74, 200
167, 99, 122
249, 69, 112
164, 92, 151
200, 132, 80
176, 250, 79
73, 192, 114
121, 154, 40
167, 189, 129
118, 215, 51
200, 185, 41
116, 208, 80
229, 135, 137
127, 77, 172
174, 39, 99
221, 74, 188
172, 99, 110
254, 69, 99
169, 92, 138
102, 195, 171
150, 157, 97
196, 192, 186
147, 217, 108
229, 187, 98
145, 210, 137
47, 99, 132
94, 134, 221
45, 159, 143
127, 129, 133
42, 152, 172
141, 96, 148
92, 121, 70
174, 91, 59
90, 114, 98
139, 156, 159
221, 126, 148
136, 149, 187
172, 152, 70
87, 175, 109
169, 145, 99
215, 94, 108
198, 172, 107
130, 134, 130
162, 108, 81
193, 132, 141
160, 149, 89
215, 129, 82
158, 144, 108
234, 95, 146
166, 57, 169
197, 31, 120
228, 55, 180
196, 72, 128
250, 52, 121
194, 67, 147
149, 135, 168
181, 110, 119
212, 133, 179
179, 150, 127
234, 130, 120
178, 146, 146
113, 71, 143
144, 95, 202
111, 112, 150
166, 92, 143
109, 107, 169
175, 69, 153
143, 86, 101
197, 66, 94
141, 82, 120
174, 110, 160
228, 90, 153
172, 105, 179
196, 107, 101
139, 122, 127
194, 102, 120
202, 172, 99
133, 134, 122
165, 108, 73
196, 132, 132
163, 149, 80
218, 129, 73
162, 144, 99
117, 212, 121
149, 187, 72
180, 210, 131
147, 227, 79
202, 207, 72
145, 223, 98
80, 148, 95
111, 172, 155
79, 189, 103
133, 169, 96
77, 184, 122
143, 146, 106
110, 163, 54
165, 143, 47
109, 159, 73
141, 187, 113
196, 167, 106
140, 182, 132
163, 184, 54
107, 199, 80
162, 179, 73
153, 135, 160
184, 110, 111
215, 133, 170
183, 150, 118
237, 130, 111
181, 146, 137
116, 71, 134
147, 95, 194
114, 112, 142
169, 92, 135
113, 107, 161
179, 69, 145
146, 86, 93
201, 66, 86
144, 82, 112
177, 110, 152
232, 90, 145
175, 105, 171
199, 107, 93
143, 122, 119
197, 102, 112
100, 150, 133
131, 173, 193
98, 190, 141
153, 170, 134
96, 186, 160
162, 148, 144
130, 165, 92
184, 145, 85
128, 160, 111
161, 188, 151
215, 168, 144
159, 184, 170
183, 185, 92
126, 201, 118
181, 181, 111
94, 109, 167
61, 126, 115
116, 106, 108
60, 122, 134
92, 150, 174
147, 130, 167
91, 145, 193
114, 147, 115
58, 162, 141
113, 142, 134
124, 124, 125
179, 104, 118
122, 120, 144
146, 121, 66
90, 137, 92
144, 117, 85
177, 145, 126
121, 160, 152
175, 140, 145
143, 157, 93
212, 133, 115
161, 104, 132
185, 85, 96
208, 103, 140
183, 116, 101
224, 101, 96
182, 112, 115
149, 163, 132
172, 144, 95
196, 162, 139
171, 175, 100
212, 160, 95
170, 171, 115
121, 115, 112
144, 133, 157
120, 146, 118
161, 131, 113
119, 142, 132
168, 114, 120
144, 127, 81
185, 112, 76
142, 123, 95
167, 144, 126
208, 129, 120
166, 141, 140
183, 142, 81
141, 153, 101
182, 138, 96
175, 106, 161
199, 87, 124
222, 104, 169
198, 117, 130
239, 102, 124
197, 113, 144
148, 58, 142
171, 75, 186
147, 88, 147
188, 73, 142
145, 84, 161
195, 56, 149
170, 69, 110
211, 54, 105
169, 65, 125
194, 86, 155
235, 71, 150
192, 83, 169
210, 84, 111
168, 96, 130
209, 81, 125
